time, Quad.IMU.AX
3.849903,0.600399
3.854903,0.300642
3.859903,-0.256909
3.864902,0.002534
3.869902,0.632320
3.874902,0.138956
3.879901,0.963095
3.884901,0.999416
3.889900,0.232638
3.894900,0.042878
3.899900,0.322715
3.904899,0.496786
3.909899,0.183519
3.914899,0.400128
3.919898,-0.049414
3.924898,-0.538674
3.929898,0.707667
3.934897,-0.814537
3.939897,0.064813
3.944896,-0.319857
3.949896,-0.157963
3.954896,0.174169
3.959895,0.126799
3.964895,0.068732
3.969895,-0.356711
3.974894,-0.489384
3.979894,0.603065
3.984894,0.166212
3.989893,-0.183228
3.994893,0.081695
3.999892,-0.316358
4.004892,-0.513636
4.009892,0.110508
4.014892,-1.066820
4.019891,0.988742
4.024891,0.049530
4.029891,-0.114950
4.034890,-0.876755
4.039890,-0.460496
4.044889,0.321965
4.049889,0.645654
4.054889,-0.434404
4.059888,-0.013888
4.064888,-0.137064
4.069888,0.754693
4.074887,0.573586
4.079887,-0.046562
4.084887,0.352989
4.089886,-0.787679
4.094886,-0.949730
4.099885,-0.405419
4.104885,-0.331252
4.109885,-0.292890
4.114884,-0.270106
4.119884,-0.757860
4.124884,0.020536
4.129883,-0.528572
4.134883,0.198488
4.139883,-0.951345
4.144882,-0.354418
4.149882,-0.149214
4.154881,-0.533484
4.159881,-0.401597
4.164881,-0.142697
4.169880,0.477218
4.174880,0.498824
4.179880,0.334376
4.184879,0.835680
4.189879,0.327831
4.194879,0.534724
4.199878,-0.753671
4.204878,0.339320
4.209877,0.221585
4.214877,0.226257
4.219877,0.045150
4.224876,-0.956045
4.229876,0.710202
4.234876,0.246597
4.239875,-0.546276
4.244875,-0.971081
4.249875,0.677560
4.254874,-0.406416
4.259874,-0.758730
4.264874,-0.073821
4.269873,0.050456
4.274873,-0.335493
4.279872,-0.877928
4.284872,-0.412427
4.289872,-0.983267
4.294871,-0.339669
4.299871,-0.309197
4.304871,-1.010369
4.309870,-0.389270
4.314870,1.398653
4.319870,0.208619
4.324869,0.851658
4.329869,0.312247
4.334868,-0.386291
4.339868,0.436269
4.344868,-0.432019
4.349867,0.661934
4.354867,0.095672
4.359867,-0.377369
4.364866,0.922820
4.369866,-0.239096
4.374866,-0.900607
4.379865,-0.590061
4.384865,0.038733
4.389864,0.434979
4.394864,0.298157
4.399864,0.126143
4.404863,0.182273
4.409863,-0.246653
4.414863,0.148654
4.419862,0.999880
4.424862,-0.293658
4.429862,1.082597
4.434861,0.806578
4.439861,0.889319
4.444860,0.101816
4.449860,-0.239824
4.454860,0.008480
4.459859,0.764382
4.464859,-0.228554
4.469859,0.712172
4.474858,0.137862
4.479858,-0.305166
4.484858,0.679247
4.489857,-0.927615
4.494857,0.004460
4.499856,0.535663
4.504856,-0.356342
4.509856,-0.648584
4.514855,0.049597
4.519855,0.279613
4.524855,0.236114
4.529854,-0.174057
4.534854,0.131778
4.539854,0.181323
4.544853,-0.015033
4.549853,-0.753517
4.554852,0.063579
4.559852,-0.427257
4.564852,-0.434789
4.569851,0.676563
4.574851,-0.236529
4.579851,0.319689
4.584850,0.404574
4.589850,0.210365
4.594850,0.182136
4.599849,0.644459
4.604849,0.385158
4.609848,0.569032
4.614848,-0.324732
4.619848,0.762031
4.624847,0.798805
4.629847,0.535188
4.634847,0.048607
4.639846,-0.758065
4.644846,-0.292480
4.649846,-0.992974
